pop_size,max_gen,mutation_base,repeat,best_distance,exec_time
50,300,0.1,1,22549.0,131.9818505000003
50,300,0.1,2,22212.0,156.57520020000084
50,300,0.1,3,22609.0,181.43881369999872
50,300,0.2,1,22281.0,368.4069406999988
50,300,0.2,2,22498.0,281.4424438999995
50,300,0.2,3,22221.0,318.61025000000154
50,600,0.1,1,22521.0,281.37438570000086
50,600,0.1,2,22489.0,240.64383290000114
50,600,0.1,3,22269.0,277.2118857000023
50,600,0.2,1,22174.0,580.5124638999987
50,600,0.2,2,22289.0,549.5895879999989
50,600,0.2,3,22137.0,604.5554855999981
100,300,0.1,1,21747.0,360.9002264999981
100,300,0.1,2,22271.0,307.81273930000316
100,300,0.1,3,22423.0,295.7144533000028
100,300,0.2,1,22075.0,456.8863859000048
100,300,0.2,2,22165.0,643.3068578999955
100,300,0.2,3,22050.0,565.3196848999942
100,600,0.1,1,22312.0,523.0161676999996
100,600,0.1,2,22197.0,623.2049631000045
100,600,0.1,3,22514.0,624.5659500999973
100,600,0.2,1,22205.0,1059.5475898000004
100,600,0.2,2,22082.0,1062.8680428000007
100,600,0.2,3,22122.0,1201.6895128000033
150,300,0.1,1,22111.0,661.2200008
150,300,0.1,2,21796.0,422.08923250000225
150,300,0.1,3,22161.0,625.3755823000029
150,300,0.2,1,22219.0,1101.7878259999998
150,300,0.2,2,21924.0,1005.0842986999996
150,300,0.2,3,22257.0,1093.1519919999992
150,600,0.1,1,21977.0,1455.5586531000008
150,600,0.1,2,22319.0,712.8641158999962
150,600,0.1,3,22170.0,907.639759800004
150,600,0.2,1,22301.0,1646.2753271999973
150,600,0.2,2,22059.0,1616.4324892000004
150,600,0.2,3,22085.0,2033.862112499999
