pop_size,max_gen,mutation_base,repeat,best_distance,exec_time
50,300,0.1,1,5.0,0.12221929999941494
50,300,0.1,2,5.0,0.11664899999595946
50,300,0.1,3,5.0,0.10409359999903245
50,300,0.2,1,5.0,0.12265629999455996
50,300,0.2,2,5.0,0.1457102999993367
50,300,0.2,3,5.0,0.12515310000162572
50,600,0.1,1,5.0,0.2261164000010467
50,600,0.1,2,5.0,0.24872340000001714
50,600,0.1,3,5.0,0.22408200000063516
50,600,0.2,1,5.0,0.2629243999981554
50,600,0.2,2,5.0,0.23665710000204854
50,600,0.2,3,5.0,0.27922550000221236
100,300,0.1,1,5.0,0.2144745999976294
100,300,0.1,2,5.0,0.244204799993895
100,300,0.1,3,5.0,0.25030580000020564
100,300,0.2,1,5.0,0.2314297999982955
100,300,0.2,2,5.0,0.2513182000038796
100,300,0.2,3,5.0,0.25080919999891194
100,600,0.1,1,5.0,0.48256899999978486
100,600,0.1,2,5.0,0.46313029999873834
100,600,0.1,3,5.0,0.48094919999857666
100,600,0.2,1,5.0,0.6499622999981511
100,600,0.2,2,5.0,0.49936580000212416
100,600,0.2,3,5.0,0.5520084999952815
150,300,0.1,1,5.0,0.3354251999990083
150,300,0.1,2,5.0,0.374155299999984
150,300,0.1,3,5.0,0.3190466000014567
150,300,0.2,1,5.0,0.3424816000042483
150,300,0.2,2,5.0,0.49575439999898663
150,300,0.2,3,5.0,0.34905779999826336
150,600,0.1,1,5.0,0.7963978999978281
150,600,0.1,2,5.0,0.6297791000033612
150,600,0.1,3,5.0,0.957461099998909
150,600,0.2,1,5.0,1.1428610000002664
150,600,0.2,2,5.0,0.7748263999965275
150,600,0.2,3,5.0,0.6991926999980933
